ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,OBJETOCONTRACTUAL,SECTOR,TIPOENTIDADOEE,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,MONTOADJUDICADOSOLES,CANTIDADADJUDICADA,TIPOPROVEEDOR,PROVEEDOR,DETALLEPROVEEDOR,RUBROS
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,24500,2,'Persona Natural','VELA ROJAS GERARDO',?,'ALOJAMIENTO TEMPORAL Y ALIMENTACIÓN'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,33390,2,'Persona Juridica','GRAN HOTEL DORADO E.I.R.L.',?,'ALOJAMIENTO TEMPORAL Y ALIMENTACIÓN'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,5600,2,'Persona Natural','WEEPIU BARRIENTOS JHEWERSON KEVIN',?,'ALOJAMIENTO TEMPORAL Y ALIMENTACIÓN'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LORETO,'MARISCAL RAMON CASTILLA','RAMON CASTILLA',146700,7,'Persona Juridica','GERARGUT DEL ORIENTE SOCIEDAD ANONIMA CERRADA',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE MIRACOSTA',CAJAMARCA,CHOTA,MIRACOSTA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',CAJAMARCA,CHOTA,MIRACOSTA,100000,1,'Persona Juridica','J & M TOOLS E.I.R.L.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE MARCO',JUNIN,JAUJA,MARCO,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',JUNIN,JAUJA,MARCO,49997.03,1,'Persona Natural','BULLON BALDEON GLADYS EDNA',?,ALIMENTOS
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,171600,12,'Persona Juridica','FABEL MEDICA E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,171600,12,'Persona Juridica','FABEL MEDICA E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,100000,2,'Persona Juridica','CARDIOMED DEL PERU SAC',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,78000,12,'Persona Juridica','FABRI MEDICAL S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,100000,2,'Persona Juridica','CARDIOMED DEL PERU SAC',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA',PASCO,OXAPAMPA,OXAPAMPA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PASCO,OXAPAMPA,OXAPAMPA,89400,30000,'Persona Natural','RAMIREZ TAZZA DAVID ALEJANDRO',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE SUPE',LIMA,BARRANCA,SUPE,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,BARRANCA,SUPE,69696,21780,'Persona Juridica','NEGOCIOS Y SERVICIOS SANTA LUCIA  S.R.L.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE SUPE',LIMA,BARRANCA,SUPE,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,BARRANCA,SUPE,34548.53,4900.5,'Persona Juridica','DEL AGUILA CORPORATION S.A.C. - DELACORP S.A.C.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE MALA',LIMA,CAÑETE,MALA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,CAÑETE,MALA,39125,12500,'Persona Juridica','EMP.DE CONSERVAS DE PESCADO BELTRAN EIRL',?,ALIMENTOS
'MARINA DE GUERRA DEL PERU',CALLAO,CALLAO,'LA PERLA',Bien,DEFENSA,'GOBIERNO NACIONAL',CALLAO,CALLAO,CALLAO,166030,1,'Persona Juridica','GRUPO CORPORATIVO CHRISTIAN Y ASOCIADOS SOCIEDAD ANONIMA CERRADA - GRUCORP SAC',?,'OTROS BIENES'
'UNIVERSIDAD NACIONAL DEL SANTA',ANCASH,SANTA,CHIMBOTE,Servicio,EDUCACIÓN,'GOBIERNO NACIONAL',ANCASH,SANTA,CHIMBOTE,282980.88,1,'Persona Juridica','VIETTEL  PERU  S.A.C.',?,'OTROS SERVICIOS'
'ZONA REGISTRAL N° X SEDE CUSCO',CUSCO,CUSCO,WANCHAQ,Servicio,JUSTICIA,'GOBIERNO NACIONAL',CUSCO,CUSCO,WANCHAQ,55000,1,'Persona Juridica','CENTRO MEDICO INTERNACIONAL DE SERVICIOS E INVESTIGACION DE MEDICINA DE ALTITUD SAC-CENTRO MEDICO CI',?,'OTROS SERVICIOS'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,42000,6,'Persona Juridica','GOLDEN MEDICAL TECH S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,270480,24,'Persona Juridica','GOLDEN MEDICAL TECH S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,672000,21,'Persona Juridica','GOLDEN MEDICAL TECH S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,1885000,13,'Persona Juridica','DRAEGER  PERU   S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE MALA',LIMA,CAÑETE,MALA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,CAÑETE,MALA,51825,1,'Persona Juridica','CONSORCIO 3C PLAYA SAC',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE HUACAÑA',AYACUCHO,SUCRE,HUACAÑA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',AYACUCHO,SUCRE,HUACAÑA,50000,1,'Persona Natural','CABALLA ARANGO VANESSA',?,ALIMENTOS
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Bien,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'JESUS MARIA',305970,43710,'Persona Juridica','JOBAL PHARMA E.I.R.L.',?,MEDICAMENTOS
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Bien,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'JESUS MARIA',472561.2,262605,'Persona Juridica','JOBAL PHARMA E.I.R.L.',?,MEDICAMENTOS
'UNIDAD EJECUTORA Nº 006 - INSTITUTO NACIONAL DE BIENESTAR FAMILIAR',LIMA,LIMA,LIMA,Bien,'MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES','GOBIERNO NACIONAL',LIMA,LIMA,'PUEBLO LIBRE',106771.66,1,'Persona Juridica','ATLANTICA DE COMERCIO S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'INSTITUTO NACIONAL DE DEFENSA CIVIL',LIMA,LIMA,'SAN ISIDRO',Servicio,'PRESIDENCIA CONSEJO DE MINISTROS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',152400,1,'Persona Juridica','EMP. DE TRANS. FLORES HNOS. SRL.',?,'OTROS SERVICIOS'
'INSTITUTO NACIONAL DE DEFENSA CIVIL',LIMA,LIMA,'SAN ISIDRO',Servicio,'PRESIDENCIA CONSEJO DE MINISTROS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',98810,1,'Persona Juridica','EMPRESA DE TRANSPORTES EXPRESO INTERNACIONAL PALOMINO S.A.C',?,'OTROS SERVICIOS'
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Bien,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'JESUS MARIA',380000,200,'Persona Juridica','CRIOGAS S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE CAJAMARCA-SALUD CUTERVO',CAJAMARCA,CUTERVO,CUTERVO,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',CAJAMARCA,CUTERVO,CUTERVO,59742.2,4298,'Persona Juridica','PROTEC MEDICAL S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE ANCASH-SALUD UTES ELEAZAR GUZMAN BARRON',ANCASH,SANTA,'NUEVO CHIMBOTE',Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',ANCASH,SANTA,'NUEVO CHIMBOTE',110419.68,25288.8,'Persona Juridica','AIR PRODUCTS PERU S.A.',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE LUYANDO',HUANUCO,'LEONCIO PRADO',LUYANDO,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',HUANUCO,'LEONCIO PRADO',LUYANDO,50000,1,'Persona Juridica','GRUPO BERMUDEZ SOCIEDAD ANONIMA CERRADA',?,ALIMENTOS
'MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS',LIMA,LIMA,MIRAFLORES,Servicio,JUSTICIA,'GOBIERNO NACIONAL',LIMA,LIMA,MIRAFLORES,112500,1,'Persona Juridica','ORGANIZACION IBEROAMERICANA DE SALUD OCUPACIONAL S.A.C.',?,'OTROS SERVICIOS'
'SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT',LIMA,LIMA,LIMA,Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,LIMA,164450,5500,'Persona Juridica','DISPOSITIVOS MEDICOS E.I.R.L.',?,'OTROS BIENES'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',968000,8,'Persona Juridica','MEDIO AMBIENTE SALUD Y EDUCACION REPRESENTACIONES S.A.C - MASED REPRESENTACIONES S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',459600,2,'Persona Juridica','MEDIO AMBIENTE SALUD Y EDUCACION REPRESENTACIONES S.A.C - MASED REPRESENTACIONES S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',355600,8,'Persona Juridica','AMERICAN HOSP SCIEF EQUIP CO DEL PERU SA',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',344500,1,'Persona Juridica','P & E SOLUCIONES INDUSTRIALES S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',798600,2,'Persona Juridica','P & E SOLUCIONES INDUSTRIALES S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',1346400,3,'Persona Juridica','P & E SOLUCIONES INDUSTRIALES S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE ATE - VITARTE',LIMA,LIMA,ATE,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,LIMA,ATE,131100,124,'Persona Juridica','MULTISERVICIOS ZION EIRL',?,'OTROS BIENES'
'DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE',LIMA,LIMA,INDEPENDENCIA,Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,INDEPENDENCIA,168000,40000,'Persona Juridica','SIGMA ENTERPRISES PERU S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD',LIMA,LIMA,'JESUS MARIA',Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,'JESUS MARIA',850000,100000,'Persona Juridica','R & G SEGURIDAD E HIGIENE INDUSTRIAL S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD',LIMA,LIMA,'JESUS MARIA',Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,'JESUS MARIA',1393039.8,70002,'Persona Juridica','TECHNOFLEX L & L S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Bien,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'JESUS MARIA',151200,12600,'Persona Juridica','ROKER PERU SA',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE HUANCAYA',LIMA,YAUYOS,HUANCAYA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,YAUYOS,HUANCAYA,46664.22,1,'Persona Juridica','INKA REAL PERU S.A.C.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE ATE - VITARTE',LIMA,LIMA,ATE,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,LIMA,ATE,65100,62,'Persona Juridica','ACERO REFORZADO A & L E.I.R.L.',?,'OTROS BIENES'
'DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE',LIMA,LIMA,INDEPENDENCIA,Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,INDEPENDENCIA,150000,30000,'Persona Juridica','DROCSA E.I.R.L.',?,'OTROS BIENES'
'UNIVERSIDAD NACIONAL JOSE F. SANCHEZ CARRION',LIMA,HUAURA,HUACHO,Servicio,EDUCACIÓN,'GOBIERNO NACIONAL',LIMA,HUAURA,HUACHO,339360.93,1,'Persona Juridica','SEGURIDAD ACUARIO S.R.L.',?,'OTROS SERVICIOS'
'GOBIERNO REGIONAL DE PIURA-SALUD',PIURA,PIURA,CASTILLA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PIURA,PIURA,CASTILLA,254000,20000,'Persona Juridica','FACTIO QUALITAS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE HUANCAPON',LIMA,CAJATAMBO,HUANCAPON,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,CAJATAMBO,HUANCAPON,50000,1,'Persona Juridica','COMERCIAL AGROSUO SA',?,ALIMENTOS
'HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR',LIMA,LIMA,'VILLA EL SALVADOR',Servicio,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,'VILLA EL SALVADOR',2400310,1,'Persona Juridica','INVERSIONES QUINTANILLA E I R L',?,'ALOJAMIENTO TEMPORAL Y ALIMENTACIÓN'
'GOBIERNO REGIONAL DE PIURA-SALUD',PIURA,PIURA,CASTILLA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PIURA,PIURA,CASTILLA,57000,75000,'Persona Juridica','MEDICAL FULL IMPORT S.A.',?,'MATERIAL Y EQUIPO MEDICO'
'HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA',LIMA,LIMA,'SAN JUAN DE MIRAFLORES',Servicio,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN JUAN DE MIRAFLORES',1520700.45,1,'Persona Juridica','ADMINISTRACION DE SERVICIOS COMPLEMENTARIOS SOCIEDAD ANONIMA CERRADA',?,'LIMPIEZA Y FUMIGACIÓN'
'GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO','SAN MARTIN','SAN MARTIN',TARAPOTO,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN','SAN MARTIN',TARAPOTO,661090.07,1,'Persona Juridica','OXYMAN COMERCIAL SAC',?,'OTROS SERVICIOS'
'MUNICIPALIDAD DISTRITAL DE EL MANTARO',JUNIN,JAUJA,'EL MANTARO',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',JUNIN,JAUJA,'EL MANTARO',50000,6,'Persona Natural','BULLON BALDEON GLADYS EDNA',?,ALIMENTOS
'MINISTERIO DEL AMBIENTE',LIMA,LIMA,'SAN ISIDRO',Bien,AMBIENTE,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,53750,1720,'Persona Juridica','CORPORACION MARSACH SAC',?,'OTROS BIENES'
'MINISTERIO DEL AMBIENTE',LIMA,LIMA,'SAN ISIDRO',Bien,AMBIENTE,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,53750,1720,'Persona Juridica','CORPORACION MARSACH SAC',?,'OTROS BIENES'
'UNIVERSIDAD NACIONAL DE BARRANCA',LIMA,BARRANCA,BARRANCA,Servicio,EDUCACIÓN,'GOBIERNO NACIONAL',LIMA,BARRANCA,BARRANCA,219999,572,'Persona Juridica','ENTEL PERU S.A.',?,'OTROS SERVICIOS'
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Servicio,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'VILLA EL SALVADOR',69384,1,'Persona Juridica','TELEFONICA DEL PERU SAA',?,'OTROS SERVICIOS'
'GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA',PIURA,SULLANA,SULLANA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PIURA,SULLANA,SULLANA,96000,1500,'Persona Juridica','FMEDIC E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Bien,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'JESUS MARIA',3001860,833850,'Persona Juridica','DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.',?,MEDICAMENTOS
'SEGURO SOCIAL DE SALUD',LIMA,LIMA,'JESUS MARIA',Servicio,'TRABAJO Y PROMOCIÓN DEL EMPLEO',FONAFE,LIMA,LIMA,'VILLA EL SALVADOR',344268.54,1,'Persona Juridica','TELEFONICA DEL PERU SAA',?,'OTROS SERVICIOS'
'MUNICIPALIDAD DISTRITAL DE HUARANCHAL','LA LIBERTAD',OTUZCO,HUARANCHAL,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL','LA LIBERTAD',OTUZCO,HUARANCHAL,94214.18,1,'Persona Juridica','EL DORADO GROUP E.I.R.L.',?,ALIMENTOS
'MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS',LIMA,LIMA,MIRAFLORES,Bien,JUSTICIA,'GOBIERNO NACIONAL',LIMA,LIMA,MIRAFLORES,99225,2025,'Persona Juridica','AMERIPLANET S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS',LIMA,LIMA,MIRAFLORES,Bien,JUSTICIA,'GOBIERNO NACIONAL',LIMA,LIMA,MIRAFLORES,47700,18000,'Persona Natural','SALDAÑA RAMOS SUSANA LILIANA',?,'MATERIAL Y EQUIPO MEDICO'
'MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS',LIMA,LIMA,MIRAFLORES,Bien,JUSTICIA,'GOBIERNO NACIONAL',LIMA,LIMA,MIRAFLORES,36237.3,13035,'Persona Juridica','JERXA S.A.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA',PIURA,SULLANA,SULLANA,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PIURA,SULLANA,SULLANA,43330,1,'Persona Natural','YARLEQUE GARCIA JESUS MANUEL',?,'ALOJAMIENTO TEMPORAL Y ALIMENTACIÓN'
'GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA',PIURA,SULLANA,SULLANA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',PIURA,SULLANA,SULLANA,66405,8854,'Persona Juridica','OXYMAN COMERCIAL SAC',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE COCHAMARCA',LIMA,OYON,COCHAMARCA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,OYON,COCHAMARCA,50000,3125,'Persona Natural','PACHECO MUÑOZ JHON ALEX',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE CATAC',ANCASH,RECUAY,CATAC,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',ANCASH,RECUAY,CATAC,50000,8,'Persona Juridica','INVERSIONES LAYSEF E.I.R.L.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE YANAS',HUANUCO,'DOS DE MAYO',YANAS,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',HUANUCO,'DOS DE MAYO',YANAS,49992,10,'Persona Juridica','EMPRESA MARESVILLAK S.R.L.',?,ALIMENTOS
'DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO',LIMA,LIMA,'SAN JUAN DE LURIGANCHO',Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,120000,12000,'Persona Juridica','DROGUERIA FAVETEX S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO',LIMA,LIMA,'SAN JUAN DE LURIGANCHO',Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,200000,20000,'Persona Juridica','DROGUERIA FAVETEX S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO',LIMA,LIMA,'SAN JUAN DE LURIGANCHO',Bien,SALUD,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,180000,18000,'Persona Juridica','DROGUERIA FAVETEX S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE LIMA - HOSPITAL HUACHO-HUAURA-OYON Y SERVICIOS  BASICOS  DE  SALUD',LIMA,HUAURA,HUACHO,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',LIMA,HUAURA,HUACHO,84825,5655,'Persona Juridica','ROKER PERU SA',?,'PROD. ASEO Y LIMPIEZA'
'CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS',LIMA,LIMA,'SAN ISIDRO',Bien,'ECONOMÍA Y FINANZAS','GOBIERNO NACIONAL',LIMA,LIMA,'SAN ISIDRO',72438884.1,3499463,'Persona Juridica','DELTALAB PERU E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC',CALLAO,CALLAO,CALLAO,Servicio,'TRANSPORTES Y COMUNICACIONES',FONAFE,CALLAO,CALLAO,CALLAO,118528,1,'Persona Juridica','TRANSPORTES LEIVA E.I.R.LTDA.',?,'OTROS SERVICIOS'
'MUNICIPALIDAD DISTRITAL DE SANTA ANITA',LIMA,LIMA,'SANTA ANITA',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,LIMA,'SANTA ANITA',77810,62,'Persona Juridica','PLASTICOS ROCA S.A.C.',?,'OTROS BIENES'
'INSTITUTO NACIONAL PENITENCIARIO',LIMA,LIMA,LIMA,Bien,JUSTICIA,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,105860,134,'Persona Juridica','IMPORTADORA MEDICAL PERUANA S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE LIMA - SERVICIOS BASICOS DE SALUD CHILCA-MALA',LIMA,CAÑETE,'SAN ANTONIO',Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',LIMA,CAÑETE,'SAN ANTONIO',57200,4000,'Persona Natural','PAREDES SOTO WILLIAM EDUARDO',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE ANCASH-SALUD UTES ELEAZAR GUZMAN BARRON',ANCASH,SANTA,'NUEVO CHIMBOTE',Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',ANCASH,SANTA,'NUEVO CHIMBOTE',204000,3,'Persona Juridica','TECNI - MED.SYSTEM. S.A.',?,'MATERIAL Y EQUIPO MEDICO'
